sll/sll-copy-commute,178,0.178,41,64,74
sll/sll-copy-fail-commute,148,0.148,82,81,41
sll/sll-copy-fail,121,0.121,82,81,41
sll/sll-copy-invert-commute,297,0.297,752,409,101
sll/sll-copy-invert-fail-commute,154,0.154,310,188,43
sll/sll-copy-invert-fail,204,0.204,306,186,43
sll/sll-copy-invert,340,0.34,744,405,101
sll/sll-copy-phased-commute,337,0.337,133,130,127
sll/sll-copy-phased-fail,1039,1.039,3125,1909,113
sll/sll-copy-phased-invert-commute,120001,120.001,,,
sll/sll-copy-phased-invert-fail,30717,30.717,230270,108572,393
sll/sll-copy-phased-invert,36623,36.623,937192,462033,789
sll/sll-copy-phased,280,0.28,113,116,125
sll/sll-copy,149,0.149,41,64,74
